,author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
0,1348356904058290176,woodhull_abe,1487,8643,"American | OIF / OEF Veteran | Anti-Globalist | Staunch Independent | ""What's past is prologue."" - Shakespeare | Pronouns: Alpha-Male | #IFBAP",,"The good thing about #Progressives is that they’re always unhappy &amp; will find something different to complain about tomorrow. 

Nothing ever stays relevant. 

Perpetual moving targets.",2022-06-30 23:38:56+00:00,0,0,2,0
1,1348356904058290176,woodhull_abe,1487,8643,"American | OIF / OEF Veteran | Anti-Globalist | Staunch Independent | ""What's past is prologue."" - Shakespeare | Pronouns: Alpha-Male | #IFBAP",,"If the core of your political party is hyper focused on hurting Trump, you’ve already lost in 2022 &amp; 2024. 

Everyday Americans could care less. 

#America",2022-06-30 23:22:58+00:00,0,0,0,0
2,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",It’s a great day to enjoy some single-A baseball,2022-06-30 21:10:23+00:00,0,1,7,0
3,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Do not want Virginia in the B1G. I can’t stand watching them play their awful style of basketball every season,2022-06-30 20:34:21+00:00,0,3,24,0
4,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Don’t like the B1G Title moving to SoFi Stadium tbh. California sports fans suck,2022-06-30 20:26:08+00:00,0,16,40,0
5,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Brooklyn messed their franchise up so bad lmao,2022-06-30 18:52:45+00:00,0,0,7,0
6,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",About to go home and start a dynasty on NCAA 14 with all the new conferences,2022-06-30 18:36:41+00:00,3,4,149,0
7,1270729393963319296,Thordansmash,17824,7095,"YouTube Partner - 160K Sub Youtuber, Apex Legends E-Sports Manager for @GlytchEnergyGG Keep slaying in the outlands, and I’ll see you out there!",San Francisco ,I’ve driven 18 straight hours from San Francisco now through Wyoming on my way to Denver only stopping for gas. And it’s still a more enjoyable experience than Apex Legends with the input lag,2022-06-30 18:29:20+00:00,9,13,251,0
8,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",All I’m gonna say is if Michigan wants to compete in this future B1G they better adapt when it comes to NIL,2022-06-30 18:11:05+00:00,4,9,141,1
9,2577919497,iAmErikGonzalez,270,13533,Chances Make Champions. Freedom 25.,"Grand Rapids, MI",I think ima go to Mexico for like a month this year 😬 sheeeesh,2022-06-30 18:10:39+00:00,0,0,5,1
10,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Playoff expansion is inevitable at this point,2022-06-30 18:00:31+00:00,0,0,3,0
11,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",USC and UCLA are screwed when they come to the Big House in November,2022-06-30 17:53:53+00:00,1,2,50,0
12,1032136902294560768,emilyp2421,106,3710,21 🌸 i’m just here bro,,I DONT WANT TO GO HOME ☹️☹️☹️☹️☹️☹️☹️☹️,2022-06-30 16:38:30+00:00,0,0,0,1
13,1362957823,Supreme_Kev,600,46011,,"Grand Rapids, MI",If your car ain’t got a/c I feel bad for you 🤣🤣,2022-06-30 16:11:53+00:00,0,0,0,0
14,2499398126,cablebox666,320,32250,movies & seattle sports tweeted about here. born & raised in seattle.,14 day limit,there will b seasons where it will seem like julio doesn’t make outs,2022-06-30 16:11:11+00:00,0,1,0,0
15,1362957823,Supreme_Kev,600,46011,,"Grand Rapids, MI",When these Niggas get to talking bout money that shit be killing me,2022-06-30 16:11:08+00:00,0,0,0,0
16,1503833296064688137,BillWayneAnal,68,654,CEO of Wayne Analytics | Yale Alumnus,"New Haven, CT",I am the most Nelk individual on twitter. I full send so hard. Most of you just don’t get it.,2022-06-30 15:18:05+00:00,0,2,1,0
17,1347355945895133186,ivandiazbotello,25,67,"Running for Kent County Commissioner in west Michigan. Help us make sure Kent County is ready to fight for universal healthcare, higher pay and lower prices!","Grand Rapids, MI","The Supreme Court is sentencing the human race to extinction by limiting the EPA’s authority to regulate greenhouse gas emissions.

It’s time for a political revolution the likes of which we haven’t experienced for generations. The fate of the world and humanity depends on it.",2022-06-30 14:12:01+00:00,0,0,0,0
18,1477418480,mark_laskin,268,5606,"hi, gay!",Bikini Bottom,correlation does not mean causation but i was relatively chill w the world before “only the audacious” became a thing and it’s been downhill since,2022-06-30 13:47:42+00:00,0,1,6,0
19,1012647837606268929,thee_sami,407,4674,umich alum,"Los Angeles, CA",Tbh I don’t feel passionate about anything but looking good rn,2022-06-30 05:00:19+00:00,0,0,0,0
20,805865380673679360,BrokawTim,1029,13819,"Retired Proud BOOMER ...former Texan
 I believe in Democratic values yet Independant. Wind power!!!!!  🚫DM's  #Independant  YES wind generators ! #BlueCrew","Wyoming, USA",Timer times up Carlos... just like the service I get from DIRECTV... LIES ..,2022-06-30 04:08:37+00:00,0,0,0,0
21,805865380673679360,BrokawTim,1029,13819,"Retired Proud BOOMER ...former Texan
 I believe in Democratic values yet Independant. Wind power!!!!!  🚫DM's  #Independant  YES wind generators ! #BlueCrew","Wyoming, USA","Hello, That is not the experience that we want you to have with us. Give us a change to turn it around for you. Please share more details, so we can work on this together. ^CarlosG",2022-06-30 04:07:20+00:00,0,0,0,0
22,1032136902294560768,emilyp2421,106,3710,21 🌸 i’m just here bro,,time goes by too quickly here 🥺,2022-06-30 03:09:47+00:00,0,0,1,0
23,881529859,madiidale,1087,12573,"i have no fear, i have only love • she/her","Sioux Falls, SD",i’m pretty good at drinkin beer,2022-06-30 00:21:06+00:00,1,1,14,0
24,1503833296064688137,BillWayneAnal,68,654,CEO of Wayne Analytics | Yale Alumnus,"New Haven, CT",Just started by Duolingo adventure. Time to learn Chinese.,2022-06-29 23:35:20+00:00,0,1,1,0
25,474068285,CallMe_PRETTYC,1474,84699,Sc-Callme_prettyc,,"Finished my 3 clients, I’m bouta ko for the rest of the day",2022-06-29 22:03:16+00:00,0,0,0,0
26,474068285,CallMe_PRETTYC,1474,84699,Sc-Callme_prettyc,,Only my left dimple deep af I hate it 🙃,2022-06-29 21:38:28+00:00,0,0,1,0
27,474068285,CallMe_PRETTYC,1474,84699,Sc-Callme_prettyc,,Everybody think I’m joking but I’m really about to celebrate my half bday 😂,2022-06-29 21:33:40+00:00,0,0,1,0
28,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Really need Michigan to go out there and have a repeat of 2021 to shut all the recruiting watchers up,2022-06-29 21:30:02+00:00,3,11,124,1
29,22022775,tmj_wy_nursing,278,423,Follow this account for geo-targeted Healthcare-Nursing job tweets in Wyoming Non-Metro. Need help? Tweet us at @CareerArc!,Wyoming,"Interested in a job in Casper, WY? This could be a great fit. Click the link in our bio to apply: Nurse Practitioner-Family Medicine at Banner Health #familymedicine #healthcarejobs",2022-06-29 20:39:35+00:00,0,0,0,0
