,author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count,clean_text,label,prob,Suicide Risk Stratification
0,1348356904058290176,woodhull_abe,1487,8643,"American | OIF / OEF Veteran | Anti-Globalist | Staunch Independent | ""What's past is prologue."" - Shakespeare | Pronouns: Alpha-Male | #IFBAP",,"The good thing about #Progressives is that they’re always unhappy &amp; will find something different to complain about tomorrow. 

Nothing ever stays relevant. 

Perpetual moving targets.",2022-06-30 23:38:56+00:00,0,0,2,0,the good thing about  progressives is that they re always unhappy  amp  will find something different to complain about tomorrow    nothing ever stays relevant    perpetual moving targets ,0,0.466592670666052,None
1,1348356904058290176,woodhull_abe,1487,8643,"American | OIF / OEF Veteran | Anti-Globalist | Staunch Independent | ""What's past is prologue."" - Shakespeare | Pronouns: Alpha-Male | #IFBAP",,"If the core of your political party is hyper focused on hurting Trump, you’ve already lost in 2022 &amp; 2024. 

Everyday Americans could care less. 

#America",2022-06-30 23:22:58+00:00,0,0,0,0,if the core of your political party is hyper focused on hurting trump  you ve already lost in       amp          everyday americans could care less     america,0,0.0009618627981789752,None
2,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",It’s a great day to enjoy some single-A baseball,2022-06-30 21:10:23+00:00,0,1,7,0,it s a great day to enjoy some single a baseball,0,0.1796873716846551,None
3,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Do not want Virginia in the B1G. I can’t stand watching them play their awful style of basketball every season,2022-06-30 20:34:21+00:00,0,3,24,0,do not want virginia in the b g  i can t stand watching them play their awful style of basketball every season,0,6.758052092774869e-05,None
4,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Don’t like the B1G Title moving to SoFi Stadium tbh. California sports fans suck,2022-06-30 20:26:08+00:00,0,16,40,0,don t like the b g title moving to sofi stadium tbh  california sports fans suck,0,0.00011795184671834615,None
5,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Brooklyn messed their franchise up so bad lmao,2022-06-30 18:52:45+00:00,0,0,7,0,brooklyn messed their franchise up so bad lmao,0,0.005083438608634526,None
6,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",About to go home and start a dynasty on NCAA 14 with all the new conferences,2022-06-30 18:36:41+00:00,3,4,149,0,about to go home and start a dynasty on ncaa    with all the new conferences,0,0.034589019725037744,None
7,1270729393963319296,Thordansmash,17824,7095,"YouTube Partner - 160K Sub Youtuber, Apex Legends E-Sports Manager for @GlytchEnergyGG Keep slaying in the outlands, and I’ll see you out there!",San Francisco ,I’ve driven 18 straight hours from San Francisco now through Wyoming on my way to Denver only stopping for gas. And it’s still a more enjoyable experience than Apex Legends with the input lag,2022-06-30 18:29:20+00:00,9,13,251,0,i ve driven    straight hours from san francisco now through wyoming on my way to denver only stopping for gas  and it s still a more enjoyable experience than apex legends with the input lag,0,3.134417699465717e-05,None
8,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",All I’m gonna say is if Michigan wants to compete in this future B1G they better adapt when it comes to NIL,2022-06-30 18:11:05+00:00,4,9,141,1,all i m gonna say is if michigan wants to compete in this future b g they better adapt when it comes to nil,0,0.01725345837290695,None
9,2577919497,iAmErikGonzalez,270,13533,Chances Make Champions. Freedom 25.,"Grand Rapids, MI",I think ima go to Mexico for like a month this year 😬 sheeeesh,2022-06-30 18:10:39+00:00,0,0,5,1,i think ima go to mexico for like a month this year   sheeeesh,0,0.027288125614781333,None
10,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",Playoff expansion is inevitable at this point,2022-06-30 18:00:31+00:00,0,0,3,0,playoff expansion is inevitable at this point,1,0.742758176898627,Moderate Risk
11,1122913082332864512,UMFanAugdahl,3259,25883,"Born and raised a diehard Michigan fan. GVSU graduate. Yes, Tom Izzo called me an illegal alien on national TV | @SSN_Michigan writer | @CollegeGeeksPod","Grand Rapids, MI",USC and UCLA are screwed when they come to the Big House in November,2022-06-30 17:53:53+00:00,1,2,50,0,usc and ucla are screwed when they come to the big house in november,0,0.010030308228409128,None
12,1032136902294560768,emilyp2421,106,3710,21 🌸 i’m just here bro,,I DONT WANT TO GO HOME ☹️☹️☹️☹️☹️☹️☹️☹️,2022-06-30 16:38:30+00:00,0,0,0,1,i dont want to go home                 ,1,0.8107492438048044,Moderate Risk
13,1362957823,Supreme_Kev,600,46011,,"Grand Rapids, MI",If your car ain’t got a/c I feel bad for you 🤣🤣,2022-06-30 16:11:53+00:00,0,0,0,0,if your car ain t got a c i feel bad for you   ,0,0.213548752903191,None
14,2499398126,cablebox666,320,32250,movies & seattle sports tweeted about here. born & raised in seattle.,14 day limit,there will b seasons where it will seem like julio doesn’t make outs,2022-06-30 16:11:11+00:00,0,1,0,0,there will b seasons where it will seem like julio doesn t make outs,0,0.08919037923030446,None
15,1362957823,Supreme_Kev,600,46011,,"Grand Rapids, MI",When these Niggas get to talking bout money that shit be killing me,2022-06-30 16:11:08+00:00,0,0,0,0,when these niggas get to talking bout money that shit be killing me,0,0.10015547987276002,None
16,1503833296064688137,BillWayneAnal,68,654,CEO of Wayne Analytics | Yale Alumnus,"New Haven, CT",I am the most Nelk individual on twitter. I full send so hard. Most of you just don’t get it.,2022-06-30 15:18:05+00:00,0,2,1,0,i am the most nelk individual on twitter  i full send so hard  most of you just don t get it ,0,0.3122507159406448,None
17,1347355945895133186,ivandiazbotello,25,67,"Running for Kent County Commissioner in west Michigan. Help us make sure Kent County is ready to fight for universal healthcare, higher pay and lower prices!","Grand Rapids, MI","The Supreme Court is sentencing the human race to extinction by limiting the EPA’s authority to regulate greenhouse gas emissions.

It’s time for a political revolution the likes of which we haven’t experienced for generations. The fate of the world and humanity depends on it.",2022-06-30 14:12:01+00:00,0,0,0,0,the supreme court is sentencing the human race to extinction by limiting the epa s authority to regulate greenhouse gas emissions   it s time for a political revolution the likes of which we haven t experienced for generations  the fate of the world and humanity depends on it ,0,9.645324041383072e-05,None
18,1477418480,mark_laskin,268,5606,"hi, gay!",Bikini Bottom,correlation does not mean causation but i was relatively chill w the world before “only the audacious” became a thing and it’s been downhill since,2022-06-30 13:47:42+00:00,0,1,6,0,correlation does not mean causation but i was relatively chill w the world before  only the audacious  became a thing and it s been downhill since,0,0.011499449002660691,None
19,1012647837606268929,thee_sami,407,4674,umich alum,"Los Angeles, CA",Tbh I don’t feel passionate about anything but looking good rn,2022-06-30 05:00:19+00:00,0,0,0,0,tbh i don t feel passionate about anything but looking good rn,0,0.19387928246807612,None
